Ticker,Year,Sector,Current_Ratio,Quick_Ratio,Cash_Ratio,Operating_Cash_Flow_Ratio,Equity_Ratio,Debt_Equity_Ratio,Liabilities_to_Assets_Ratio,Interest_Coverage_Ratio,Asset_Turnover_Ratio,Receivables_Turnover_Ratio,Gross_Profit_Margin,Net_Profit_Margin,Operating_Margin,Return_On_Equity,Return_On_Assets,EPS,PER,Result
MMM,2018,Industrials,1.89246272777471,1.2897570403092211,0.4463003865267808,0.8888735505245721,0.2683835616438356,1.3690281747652102,0.7301917808219178,19.237142857142857,0.8976712328767124,6.395666601600625,0.4908591484816115,0.1632534716923546,0.2054936670227376,0.546039199673336,0.1465479452054794,-1.0983572895277207,-155.14504727035356,-0.0449630859400376
MMM,2019,Industrials,1.406527868141401,0.9582520060724354,0.2657774886141835,0.7666449793970939,0.2253297207729685,1.7408327536519923,0.7732595893324974,13.678571428571429,0.7195861976309367,6.475115857344348,0.4667662434652725,0.1422081155090863,0.190689569330346,0.4541389247739242,0.1023309971114445,-3.2103766879886284,-50.62381004754067,0.0032947407083224
MMM,2020,Industrials,1.885002516356316,1.351660795168596,0.6338701560140916,1.0207599396074485,0.271776782696857,1.3980725887930363,0.7268714092598851,12.896030245746692,0.679790469753295,6.663354037267081,0.4840604026845637,0.1672880934625901,0.2119686800894854,0.4184347555762804,0.1137208516390672,-14.807065217391305,-10.680602411279592,0.0663192933957511
MMM,2021,Industrials,1.704814609850581,1.153071389042612,0.527393469839513,0.8250138350857775,0.3196380013596193,1.0671274757410607,0.6788536709721278,15.709016393442624,0.7510834466349422,7.411949685534591,0.4683920237590157,0.1674727761278461,0.2168293027860274,0.3935265186760601,0.1257860299116247,-2.692587539790814,-61.36790797461169,-0.295643416052787
AOS,2018,Industrials,2.0864637718069527,1.6984591875716286,0.8213421622309945,0.5716286769387495,0.5590102555754517,0.1289458357600466,0.4409897444245482,65.67857142857143,1.037896793097835,4.924918893866831,0.4095172370526052,0.1393393770193544,0.1730606355280906,0.2587070471753058,0.1446198925606381,-2.192497532082922,-38.434935523818496,0.1163584173272009
AOS,2019,Industrials,1.9574690150032616,1.5621656881930854,0.7193737769080235,0.5951728636660143,0.5450621321124918,0.1663066954643628,0.4549378678875082,42.28181818181818,0.9786461739699148,5.076675148430874,0.3945266815918735,0.1236341764961406,0.1554115013198783,0.2219822414206863,0.1209941137998692,-1.2860618700034758,-41.1383561603443,0.1690697381746127
AOS,2020,Industrials,1.825566963782015,1.4869682951596526,0.7780661175674151,0.6342096355635789,0.5847755244091499,0.0575664123789428,0.4152244755908501,61.35616438356164,0.9160312588983454,4.949230769230769,0.3827582633923945,0.1191240976755431,0.1546989949228059,0.1866039062922685,0.1091213971588572,-6.082892416225749,-7.4046126188973345,0.6193686301989552
AOS,2021,Industrials,1.5664998212370398,1.1663389345727566,0.5643546657132642,0.5730246692885235,0.5273428505641262,0.1036458901866608,0.4726571494358738,141.74418604651163,1.0185643564356437,5.578341740226986,0.3704258385373986,0.137641640057645,0.1722286586227358,0.2658552559764218,0.1401968685240617,-1.3290586630286494,-29.819673457152543,-0.2963593514562027
ABT,2018,Healthcare,1.623612960497115,1.2023968042609854,0.4533954727030626,0.6990679094540613,0.4544087654265851,0.6342222513432053,0.5426436216932399,4.418886198547216,0.455212659848451,5.900810497877267,0.5844724965661586,0.0774412976649879,0.1193668650663875,0.0775782990433757,0.0352522590921947,-9.949579831932772,-13.911873637018976,0.2705122630760597
ABT,2019,Healthcare,1.442235110006444,1.044923133572678,0.3811101905550952,0.5648531713154745,0.4579374548882702,0.5359302624807,0.5389249782727179,6.764179104477612,0.4699574292574425,5.880921658986175,0.585287111334002,0.115565446339017,0.1420511534603811,0.11859881626351,0.0543108400724733,-5.135097493036212,-20.65080549686557,0.2668156540768164
ABT,2020,Healthcare,1.716721256403796,1.2957923910304865,0.6003191400016796,0.6635592508608381,0.4518939185091249,0.5651232308443143,0.5450873904173789,9.811355311355312,0.4770358934774218,5.395696913002807,0.566487517337032,0.1298832639852057,0.1547907998150716,0.1371095656417764,0.0619589788829464,-11.153846153846152,-7.42528102480132,0.309828948449464
ABT,2021,Healthcare,1.8495993895459748,1.4560854635635254,0.7820679130103014,0.803739030904235,0.4761157508378105,0.4831015027093458,0.520931964466195,15.806754221388369,0.5728363210809085,6.640203483890859,0.5696575739988392,0.1641555426581543,0.1955890887986071,0.1975029327970504,0.0940342571413373,-3.075685080469769,-22.05720824181081,-0.2077331943127581
ABBV,2018,Healthcare,0.9829456464992168,0.8898427983061663,0.4676025291490225,0.7788734845408667,-0.1423035449521499,-4.144210277054227,1.14230354495215,5.049703264094956,0.5518432403288853,6.083395245170877,0.7643574634384637,0.1736329496534668,0.2078282905382713,-0.6733364906464598,0.0958181695646313,-0.4733644081904445,-275.31126820494006,0.048341469738872
ABBV,2019,Healthcare,3.177350016041065,3.0610202117420595,2.5616939364773823,0.8549246069939044,-0.0917017337148628,-7.706191874694078,1.091701733714863,7.493273542600897,0.3732929360938113,6.128592483419308,0.7763782841339506,0.2369386160043287,0.401851740515842,-0.9645129711209006,0.08844751164226,-12.531001589825118,-7.853449083167083,0.2406216558883336
ABBV,2020,Healthcare,0.8434109068071596,0.7279229615156484,0.2958375492829978,0.6136561878510869,0.0868462125992096,5.931018660140716,0.9130143127552884,5.118581907090465,0.3042141267890944,5.192019950124688,0.6640686402934242,0.100777224696533,0.2742336913806654,0.3530131538696849,0.0306578554112841,-4.719836400817996,-16.32548683272284,0.346119720522506
ABBV,2021,Healthcare,0.7935443541512758,0.7046655679945445,0.2793089731204182,0.6471841791214411,0.1051532461151034,4.165952751817238,0.8946556654314163,7.794469665703673,0.3835213507223826,5.632655106745514,0.6895563820132747,0.2053846290727263,0.336067761624286,0.7490913811007269,0.0787693903595875,-12.3576017130621,-6.145101813959344,0.2475276513448715
ACN,2019,Technology,1.3967407576422703,1.3967407576422703,0.554169556466631,0.5990793079233433,0.4836880175415275,0.0011275585383809,0.5022574444744322,274.575360362322,1.4506608620108574,5.338435326879776,0.308103297342523,0.1105891602994542,0.1459000833807454,0.3316752964534408,0.1604273666090632,-2.5935813757109933,-110.72831357256952,0.2492255538304335
ACN,2020,Technology,1.4017476677362215,1.4017476677362215,0.6720298927786496,0.6487734341868449,0.4585000299229261,0.0031794291662333,0.5280518600045044,196.95939040246745,1.1954887015265114,5.648993130018866,0.3152964491943619,0.1152307737045102,0.1469451636505655,0.3004516445834413,0.1377570880319002,-2.605323842065881,-127.06576030543737,0.4208887389553056
ACN,2021,Technology,1.2519369474577635,1.2519369474577635,0.5202455403053575,0.5713427963964556,0.4523236292108992,0.0027380693797174,0.5345287409906507,128.11014926376654,1.1704088557112828,5.194519712358242,0.3238280337778256,0.1168892313951079,0.1508216478415884,0.30245643324181,0.1368081915621196,-2.239676660161397,-103.98769747100158,-0.1359425570930294
ACN,2022,Technology,1.2332511161014903,1.2332511161014903,0.450469814927341,0.544476341935422,0.4677213589630367,0.0020760335938089,0.5187165372606578,197.95395181741333,1.303213861722572,5.230150444412838,0.3198597500207202,0.1116526763310341,0.1520786864954479,0.311098291118509,0.1455073154930274,-2.485142271531167,-75.22326110781012,-0.0740098688316617
ATVI,2018,Communication Services,2.3111279333838,2.294852384557154,1.5991672975018925,0.6775170325510976,0.6367816091954023,0.2351853482433741,0.3632183908045977,,0.4205214465937762,7.246376811594203,0.6644,0.2417333333333333,0.2650666666666667,0.1596372281412345,0.1016540510232688,18.666666666666668,3.543047087533133,0.2735981731171189
ATVI,2019,Communication Services,2.5015437392795885,2.490566037735849,1.9876500857632933,0.6281303602058319,0.6452506928697405,0.208902772354549,0.3547493071302595,19.322222222222223,0.326984126984127,7.652122641509434,0.6773000462320851,0.231622746185853,0.2679919864385884,0.1173760249902381,0.0757369614512471,14.314285714285717,6.417127064840046,0.571735814796621
ATVI,2020,Communication Services,3.4080645161290324,,2.7893548387096776,0.7264516129032258,0.6506988619152712,0.2397419698078074,0.3493011380847289,28.565656565656564,0.3499069626552425,7.686311787072244,0.720504575810042,0.2717041800643087,0.3497402918624783,0.1461062711977123,0.0950711843870353,12.923529411764706,4.518902795554618,-0.256372272074619
ATVI,2021,Communication Services,5.207797594359187,,4.323102447117379,1.0012442969722106,0.7023866538952745,0.205011648389113,0.2976133461047254,30.88888888888889,0.3513330140485313,9.056584362139915,0.7367942746790866,0.3066000227195274,0.378961717596274,0.1533609864196829,0.1077187100893997,29.988888888888887,1.514093159480906,0.1324705108008201
